time,phi,theta,phi_dot,theta_dot,ua,ref,ts
7.65,-13.741207403587854,0.31769410420019334,-2.7954112284033847,0.8716350735743976,0.66,1.24,0.0
7.66,-13.767068321916181,0.5388781796306172,-2.6056155416645455,0.6183811496831222,-0.08000000000000002,0.79,0.0
7.67,-13.774525832222873,0.35044696746353965,-0.5233698998760286,0.41098056971221436,0.18000000000000002,-0.47,0.0
7.68,-13.771813185452697,0.3096588960443819,0.035076585797839815,-0.35416323229547697,0.35,0.83,0.0
7.692,-13.769646056466199,0.366148194023607,0.23067325158477192,-0.5449125857469039,0.41999999999999993,0.94,0.0
7.7,-13.768589765036483,0.40978186752572654,0.28915980287379395,-0.28768206484566294,-0.39,0.02,0.0
7.71,-13.762651061993832,0.24970191141789122,0.5602047932511975,-0.01912285472041053,-0.19000000000000003,-0.08,0.0
7.72,-13.76033790248599,0.2827809248920662,-0.10431523195261899,0.13665135668671857,0.20999999999999996,0.54,0.0
7.73,-13.759900331849046,0.35743173749764856,0.09618707547415892,0.20376010332649275,0.39,-0.14,0.0
7.74,-13.758973816210082,0.4057344080358221,0.25041589927704044,0.3610385776710779,-0.19999999999999996,-0.8,0.0
7.75,-13.760033571613254,0.32412628403779375,-0.18194303071272788,0.6214963314320997,0.62,0.76,0.0
7.76,-13.75888548381254,0.4348200316377816,0.3922711579575894,0.6061380365079175,0.08999999999999997,0.17,0.0
7.771,-13.758978171762728,0.38334532037302427,0.0594457246671847,0.7508441771562349,-0.16000000000000003,-0.1,0.0
7.78,-13.760246985986234,0.3245025400892899,-0.168334387939171,0.7476767514738818,-0.030000000000000027,0.02,0.0
7.79,-13.76067424311778,0.36094623785957924,-0.1086365367141584,1.005351065148734,1.63,1.53,0.0
7.8,-13.756258244370741,0.6262971616232217,1.1632539879987842,0.9483759938224869,0.35000000000000003,-0.66,0.0
7.811,-13.740806785161295,0.40774413921806363,2.1102662996431274,1.0918232582197838,0.5499999999999999,-0.18,0.0
7.821,-13.727291103994517,0.405856324579224,1.5729735908431393,0.6821525734103145,0.07999999999999996,-0.22,0.0
7.831,-13.726396727379583,0.42300831680149964,0.22537808450212887,1.0322183006480918,0.7399999999999999,0.54,0.0
7.841,-13.72695030344359,0.5597501418721608,0.508364167825575,1.5875457914033768,0.62,0.09,0.0
7.852,-13.726977616282008,0.6019561304824378,0.433957356269955,2.384834148113886,2.52,1.65,0.0
7.862,-13.722041555969929,0.9051875589726535,1.8762183479204042,2.5970429846879792,1.0899999999999999,-0.03,0.0
7.871,-13.722006225426174,0.7733518543197861,0.9592572600278566,3.289124550078668,0.7899999999999999,-0.54,0.0
7.881,-13.724348154338728,0.6676678170749438,0.641862047276504,3.114676397749922,1.6,0.27,0.0
7.891,-13.72334178224823,0.7750048626770604,1.2306897537967192,2.6159624569790254,1.2000000000000002,-0.1,0.0
7.901,-13.723244927423135,0.8466378572962542,0.9493071349906863,3.49278160202949,2.15,0.4,0.0
7.911,-13.721198043114946,1.0102747014408702,1.6360214381991556,3.83790735486794,2.43,0.4,0.0
7.921,-13.718674345132603,1.0966839882113626,1.9409512722254716,3.956234109549018,1.3199999999999998,-0.86,0.0
7.931,-13.720492080663453,1.0098455272002138,1.1096266228968195,4.749946756017398,1.9300000000000002,-0.63,0.0
7.941,-13.728528038518931,1.1318170461100348,0.5951118391230388,4.97789022317365,2.94,0.39,0.0
7.951,-13.728560798245871,1.2752564081244202,2.167445304123155,4.6425655306675555,2.89,-0.02,0.0
7.961,-13.718200147688076,1.335805876610832,3.205936652213187,4.928509135497071,3.35,-0.1,0.0
7.971,-13.674492105672396,1.3294553277255312,6.354434597801226,4.941676816602142,5.05,0.6,0.0
7.981,-13.592847876939254,1.4231467338151176,9.953837378988155,3.092794388673851,4.659999999999999,0.24,0.0
7.991,-13.491351599717417,1.2969366580754862,11.95712702560888,1.2403204371525596,3.73,-0.57,0.0
8.001,-13.359201936784299,1.0147715034253717,14.20555152881865,-0.3677701109726361,4.21,-0.32,0.0
8.011,-13.1926420664482,0.9434683918099619,17.567602522768986,-1.5334242631117512,4.8999999999999995,-0.08,0.0
8.021,-13.015937777027688,1.1150894265134252,17.694668744653338,-1.8056566689796554,5.25,0.66,0.0
8.032,-12.812150217861971,1.0177750463990314,21.4953361381946,-2.4693086186910205,5.369999999999999,-0.03,0.0
8.041,-12.604102644214503,1.032977707023299,21.291782773614937,-2.995537306651969,5.609999999999999,0.81,0.0
8.051,-12.378506492097435,0.9050353935024156,24.09820193827053,-3.9158448470406966,5.09,-0.11,0.0
8.061,-12.115778885293299,0.7256567332328401,25.886930386305334,-4.280586496319854,5.46,0.0,0.0
8.071,-11.85837305069392,0.7528599438198319,25.579896759353144,-4.605673608410046,5.52,0.59,0.0
8.081,-11.599090527571429,0.6943087564635292,26.458212509845357,-4.961388715491989,5.18,0.23,0.0
8.092,-11.33853770787602,0.6015120021447177,26.336440818193125,-5.143920663307612,5.3,0.6,0.0
8.101,-11.04777534387106,0.44375559705842205,29.068366184343468,-5.49641665893389,5.09,-0.17,0.0
8.112,-10.745681543273447,0.3518690292354152,29.33388355446413,-5.547270519084075,5.43,0.4,0.0
8.121,-10.474144297003617,0.4599189524952597,27.00109883973281,-5.53804818866177,4.0,-0.04,0.0
8.131,-10.173710572740037,0.05735789087550813,29.082379124581358,-5.736096016279143,5.31,0.46,0.0
8.141,-9.881552368141891,0.257198029544933,28.6596655699125,-5.47130661287073,4.38,0.06,0.0
8.151,-9.579281843234227,0.0774241413359694,28.745784587099866,-5.092832886648208,4.43,-0.07,0.0
8.162,-9.278192679134836,-0.049192038013859296,28.855907662662066,-5.627399667145847,3.27,-0.83,0.0
8.173,-8.995861475016266,-0.20121084206688572,27.09165388170006,-5.145598198157178,2.94,-0.88,0.0
8.182,-8.719680205181144,-0.2990093562234328,25.726200965760235,-5.007640328560308,3.4,-0.03,0.0
8.192,-8.457070973444448,-0.1967392507460192,24.979222540140412,-4.392505415283724,3.86,0.53,0.0
8.203,-8.204325062754366,-0.0740700094643636,24.311091698045722,-3.5054737284319604,3.47,0.17,0.0
8.212,-7.978660886739645,-0.06150444033919508,22.139767835475837,-2.601093534090746,2.95,0.01,0.0
8.222,-7.7246894436004325,-0.3166675524101886,24.08953328331173,-2.556622321875392,3.3400000000000003,-0.34,0.0
8.233,-7.491972916307239,-0.2250687853765509,22.077119372917316,-2.6485976521052024,2.68,-0.04,0.0
8.242,-7.259121293646955,-0.32972392127197214,22.122315813522388,-2.256831311292718,3.21,0.11,0.0
8.253,-7.042230014938246,-0.21925476635606175,20.78822104758418,-2.0062508251563136,2.58,-0.02,0.0
8.262,-6.827278310325063,-0.2966812825397627,20.090214099724456,-1.6094659779632288,2.79,0.1,0.0
8.273,-6.616643261204907,-0.2971798082202086,20.1581160786237,-1.3626415604861242,3.8400000000000003,1.08,0.0
8.282,-6.403526505057068,-0.1524328225383545,20.974890498205337,-1.4267613663726286,3.82,1.06,0.0
8.292,-6.1990030586820035,-0.09864105412053492,20.18421650926756,-1.4099205979044669,1.94,-0.48,0.0
8.302,-5.988830587090475,-0.48746577398357205,20.40049898038725,-1.4765427748173647,2.38,-0.43,0.0
